url,city,price,price_per_sqm,description,district_name,street_address,area_m2,bedrooms,floor,upload_date,transaction_type,source
https://www.myhome.ge/pr/20144539/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,62483.0,855.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ. 1ა,73.08,2.0,2.0,2025-07-24 05:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20143912/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,40988.0,855.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ. 1ა,47.94,1.0,1.0,2025-07-23 22:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20144758/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,101436.0,855.0,იყიდება 4 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ. 1ა,118.64,3.0,2.0,2025-07-23 18:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20263492/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,113049.0,950.0,იყიდება 4 ოთახიანი ბინა ქუთაისში,ბალახვანი,წერეთლის ქუჩა 184,119.0,3.0,8.0,2025-07-23 16:54:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20272683/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,33150.0,850.0,იყიდება 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,39.0,1.0,2.0,2025-07-23 16:54:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20272069/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,65069.0,900.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,72.3,2.0,4.0,2025-07-23 16:54:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20271939/iyideba-5-otaxiani-bina-qutaisshi/,ქუთაისი,93159.0,850.0,იყიდება 5 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,109.6,3.0,7.0,2025-07-23 16:54:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20262235/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,52529.0,850.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,61.8,2.0,2.0,2025-07-23 16:54:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20272519/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,26550.0,900.0,იყიდება 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 8,29.5,1.0,9.0,2025-07-23 16:54:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20272833/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,74799.0,1100.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,ბალახვანი,წერეთლის ქუჩა 184,68.0,2.0,9.0,2025-07-23 16:53:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20273014/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,84549.0,950.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,ბალახვანი,წერეთლის ქუჩა 184,89.0,2.0,9.0,2025-07-23 16:53:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21874325/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,26880.0,600.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ავტოქარხანა,ორახელაშვილის ქ. 7გ,44.8,1.0,2.0,2025-07-19 21:12:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20807879/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,43000.0,956.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ზასტავა,ჯავახიშვილი ი. ქუჩა,45.0,1.0,3.0,2025-07-16 14:31:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21907493/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,50000.0,909.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ნიკეა,ნიკეას ქ. 54,55.0,2.0,2.0,2025-07-24 15:13:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20179265/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,119999.0,1200.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,100.0,2.0,5.0,2025-07-24 15:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21166819/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,47000.0,1175.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ.,40.0,1.0,8.0,2025-07-24 15:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20903034/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,50000.0,1000.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,50.0,1.0,4.0,2025-07-24 15:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21154987/iyideba-6-otaxiani-bina-qutaisshi/,ქუთაისი,134999.0,1080.0,იყიდება 6 ოთახიანი ბინა ქუთაისში,ზასტავა,ჯავახიშვილი ი. ქუჩა,125.0,3.0,2.0,2025-07-24 14:59:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21906981/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,33500.0,1015.0,იყიდება 1 ოთახიანი ბინა ქუთაისში,ზასტავა,ჯავახიშვილი ი. ქუჩა,33.0,1.0,4.0,2025-07-24 14:40:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21906747/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,54999.0,1100.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ.,50.0,1.0,3.0,2025-07-24 14:24:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20909667/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,72999.0,1000.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,არაყიშვილის ქუჩა 16,73.0,2.0,11.0,2025-07-24 11:51:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21904048/iyideba-4-otaxiani-bina-qutaisshi/,ქუთაისი,124999.0,1838.0,იყიდება 4 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,თამარ მეფის ქ. 1,68.0,2.0,2.0,2025-07-24 11:31:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21907310/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,109999.0,2157.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 16,51.0,2.0,26.0,2025-07-24 15:32:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21645295/iyideba-3-otaxiani-bina-batumshi/,ბათუმი,139999.0,2258.0,იყიდება 3 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ხიმშიაშვილი შ. ქ. 1,62.0,2.0,11.0,2025-07-24 15:31:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21770216/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,127999.0,2286.0,იყიდება 2 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა 5,56.0,2.0,18.0,2025-07-24 15:06:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21524999/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,59999.0,2000.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ.,30.0,1.0,9.0,2025-07-24 15:01:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21827101/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,48000.0,1733.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ბაგრატიონის უბანი,ბაგრატიონის ქუჩა 129,27.7,1.0,16.0,2025-07-24 14:55:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21826863/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,42000.0,955.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ბაგრატიონის უბანი,ბაგრატიონის ქუჩა 169,44.0,1.0,18.0,2025-07-24 14:55:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21161109/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,62999.0,1826.0,იყიდება 1 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა 5,34.5,1.0,4.0,2025-07-24 13:47:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/18864630/iyideba-3-otaxiani-bina-batumshi/,ბათუმი,269997.0,3698.0,იყიდება 3 ოთახიანი ბინა ბათუმში,ძველი ბათუმის უბანი,რუსთაველის ქ. 13,73.01,2.0,3.0,2025-07-24 13:27:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21895983/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,55999.0,970.0,იყიდება 2 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა 5,57.7,2.0,4.0,2025-07-24 12:00:00,იყიდება,myhome.ge
